Date,Volcano Name,ID,Type,VEI,Latitude,Longitude,Frequency
1971-07-25,Chirinkotan,18830,Eruption,2.0,48.98,153.48,3
1971-07-26,Sirung,16363,Eruption,1.0,-8.508,124.13,13
1971-07-27,Shishaldin,20084,Eruption,2.0,54.756,-163.97,7
1971-07-30,Pavlof,20975,Eruption,1.0,55.417,-161.894,3
1971-08-09,Tongariro,14602,Eruption,3.0,-39.157,175.632,5
1971-08-14,Galunggung,15721,Eruption,4.0,-7.25,108.05799999999999,4
1971-08-14,Galunggung,15721,Eruption,4.0,-7.25,108.05799999999999,1
1971-08-16,Ahyi,20936,Eruption,0.0,20.42,145.03,3
1971-09-02,Turrialba,20831,Eruption,2.0,10.025,-83.76700000000001,3
1971-09-05,Nyamuragira,14069,Eruption,3.0,-1.4080000000000001,29.2,4
1971-09-08,Semeru,22220,Eruption,1.0,-8.107999999999999,112.92200000000001,3
1971-09-14,Sangay,22235,Eruption,2.0,-2.005,-78.34100000000001,3
1971-09-14,Sangay,22235,Eruption,2.0,-2.005,-78.34100000000001,2
1971-09-26,Momotombo,22107,Eruption,2.0,12.423,-86.539,3
1971-09-27,Alaid,21096,Eruption,1.0,50.861000000000004,155.565,3
1971-09-30,Rinjani,22104,Eruption,2.0,-8.42,116.47,3
1971-10-01,Soputan,13596,Eruption,3.0,1.112,124.73700000000001,9
1971-10-06,Hakoneyama,21080,Eruption,1.0,35.233000000000004,139.02100000000002,3
1971-10-23,Marapi,20931,Eruption,1.0,-0.38,100.47399999999999,3
1971-10-28,Semeru,22221,Eruption,3.0,-8.107999999999999,112.92200000000001,3
1971-11-06,Zhupanovsky,20908,Eruption,3.0,53.589,159.15,3
1971-12-05,Langila,20788,Eruption,1.0,-5.525,148.42,3
1972-01-03,Karangetang,20775,Eruption,2.0,2.781,125.40700000000001,3
1972-01-03,Karangetang,20775,Eruption,2.0,2.781,125.40700000000001,1
1972-02-04,Etorofu-Yakeyama [Grozny Group],20761,Eruption,2.0,45.012,147.871,3
1972-02-12,Erebus,13161,Eruption,1.0,-77.53,167.17,5
1972-03-08,Merapi,20842,Eruption,2.0,-7.54,110.446,3
1972-03-09,Witori,20805,Eruption,2.0,-5.5760000000000005,150.516,3
1972-03-25,Marapi,15470,Eruption,1.0,-0.38,100.47399999999999,4
1972-04-05,Sheveluch,19582,Eruption,2.0,56.653,161.36,4
1972-04-08,Heard,14405,Eruption,2.0,-53.106,73.513,4
1972-04-09,"Lengai, Ol Doinyo",22304,Eruption,0.0,-2.764,35.914,3
1972-04-11,Soputan,22105,Eruption,3.0,1.112,124.73700000000001,3
1972-04-24,Rumble III,14675,Eruption,0.0,-35.745,178.47799999999998,4
1972-07-30,Krakatau,15611,Eruption,2.0,-6.102,105.42299999999999,5
1972-08-01,Westdahl,20044,Eruption,3.0,54.516000000000005,-164.65,4
1972-08-06,Macdonald,10316,Eruption,0.0,-28.98,-140.25,4
1972-08-12,Krafla,12948,Eruption,0.0,65.715,-16.727999999999998,5
1972-09-22,"Fournaise, Piton de la",22145,Eruption,0.0,-21.244,55.708,3
1972-10-28,Calbuco,21076,Eruption,4.0,-41.33,-72.618,3
1972-11-09,Raung,21070,Eruption,3.0,-8.119,114.056,3
1972-11-27,Telica,21074,Eruption,2.0,12.606,-86.84,3
1972-12-06,Suwanosejima,16942,Eruption,1.0,29.638,129.714,4
1972-12-10,Poas,22156,Eruption,1.0,10.2,-84.23299999999999,3
1972-12-28,Mayon,16807,Eruption,2.0,13.257,123.685,4
1973-01-12,San Miguel,22117,Eruption,1.0,13.434000000000001,-88.26899999999999,3
1973-02-14,Shishaldin,20094,Eruption,3.0,54.756,-163.97,4
1973-02-18,Gaua,20938,Eruption,1.0,-14.27,167.5,3
1973-02-28,Ritter Island,14976,Eruption,1.0,-5.519,148.115,3
1973-03-07,Nyamuragira,14078,Eruption,3.0,-1.4080000000000001,29.2,4
1973-03-16,Soputan,16434,Eruption,1.0,1.112,124.73700000000001,3
1973-03-16,Soputan,16434,Eruption,1.0,1.112,124.73700000000001,1
1973-03-17,Dempo,15574,Eruption,1.0,-4.016,103.12100000000001,3
1973-03-23,Lascar,11869,Eruption,2.0,-23.37,-67.73,4
1973-04-24,Cleveland,19817,Eruption,2.0,52.825,-169.94400000000002,3
1973-04-25,Ulawun,15073,Eruption,2.0,-5.05,151.33,3
1973-05-10,Korovin,19767,Eruption,1.0,52.381,-174.166,3
1973-05-10,Korovin,19767,Eruption,1.0,52.381,-174.166,1
1973-06-11,Concepcion,11076,Eruption,2.0,11.538,-85.62200000000001,3
1973-06-13,White Island,14491,Eruption,1.0,-37.52,177.18,4
1973-06-15,Veniaminof,20171,Eruption,1.0,56.17,-159.38,4
1973-06-17,Izalco,10821,Eruption,0.0,13.812999999999999,-89.633,9
1973-06-24,Reventador,11443,Eruption,2.0,-0.077,-77.656,5
1973-06-26,Bezymianny,19384,Eruption,3.0,55.972,160.595,3
1973-07-04,Ulawun,15074,Eruption,2.0,-5.05,151.33,3
1973-07-06,Veniaminof,20177,Eruption,1.0,56.17,-159.38,3
1973-07-08,Krakatau,15616,Eruption,2.0,-6.102,105.42299999999999,4
1973-07-28,Kanlaon,16638,Eruption,2.0,10.412,123.132,3
1973-07-31,Etna,13848,Eruption,2.0,37.748000000000005,14.999,3
1973-08-04,Langila,14999,Eruption,2.0,-5.525,148.42,3
1973-08-16,Sabancaya,11749,Eruption,1.0,-15.787,-71.857,4
1973-08-16,Sabancaya,11749,Eruption,1.0,-15.787,-71.857,1
1973-08-30,Telica,10937,Eruption,1.0,12.606,-86.84,3
1973-09-08,Anatahan,18536,Eruption,3.0,16.35,145.67,3
1973-09-11,Marion Island,14414,Eruption,1.0,-46.9,37.75,3
1973-09-21,Soputan,16436,Eruption,3.0,1.112,124.73700000000001,3
1973-11-19,"Fournaise, Piton de la",14388,Eruption,0.0,-21.244,55.708,3
1973-11-25,Veniaminof,20176,Eruption,1.0,56.17,-159.38,3
1973-11-29,Kanlaon,16739,Eruption,1.0,10.412,123.132,4
1973-11-30,Veniaminof,20169,Eruption,1.0,56.17,-159.38,4
1973-12-03,Northern EPR at 9.8°N,10346,Eruption,0.0,9.83,-104.3,3
1973-12-05,Concepcion,11073,Eruption,2.0,11.538,-85.62200000000001,3
1973-12-05,Concepcion,11073,Eruption,2.0,11.538,-85.62200000000001,1
1973-12-28,Talang,15490,Eruption,1.0,-0.9790000000000001,100.681,8
1973-12-29,Colima,10471,Eruption,1.0,19.514,-103.62,4
1974-01-02,Ruapehu,14643,Eruption,1.0,-39.28,175.57,5
1974-01-08,Ambrym,15279,Eruption,2.0,-16.25,168.12,5
1974-01-31,Krakatau,15634,Eruption,2.0,-6.102,105.42299999999999,3
1974-02-02,Kavachi,15173,Eruption,2.0,-8.991,157.97899999999998,4
1974-02-28,Heard,14407,Eruption,0.0,-53.106,73.513,4
1974-02-28,Heard,14407,Eruption,0.0,-53.106,73.513,1
1974-03-02,Dieng Volcanic Complex,15792,Eruption,1.0,-7.2,109.87899999999999,3
1974-03-23,Macdonald,10315,Eruption,0.0,-28.98,-140.25,5
1974-05-05,Nyamuragira,20801,Eruption,2.0,-1.4080000000000001,29.2,3
1974-05-09,Gamalama,20765,Eruption,2.0,0.8,127.33,3
1974-05-13,Etna,13853,Eruption,2.0,37.748000000000005,14.999,3
1974-05-17,Gorely,19026,Eruption,1.0,52.559,158.03,3
1974-05-26,Unzendake,17181,Eruption,1.0,32.760999999999996,130.299,4
1974-06-04,San Cristobal,10897,Eruption,2.0,12.702,-87.00399999999999,3
1974-06-24,Eyjafjallajokull,12563,Eruption,4.0,63.633,-19.633,3
1974-06-25,Soputan,16432,Eruption,2.0,1.112,124.73700000000001,4
1974-07-13,South Sarigan Seamount,18529,Eruption,3.0,16.58,145.78,3
1974-07-29,Tinakula,15210,Eruption,1.0,-10.386,165.804,3
1974-08-09,Chikurachki,18860,Eruption,2.0,50.324,155.461,3
1974-08-13,Reventador,11449,Eruption,2.0,-0.077,-77.656,3
1974-09-11,Bezymianny,19385,Eruption,3.0,55.972,160.595,3
1974-09-11,Bezymianny,19385,Eruption,3.0,55.972,160.595,1
1974-09-21,Etna,13825,Eruption,2.0,37.748000000000005,14.999,4
1974-09-27,Akutan,20038,Eruption,1.0,54.13399999999999,-165.986,4
1974-10-10,Karthala,14208,Eruption,2.0,-11.75,43.38,3
1974-10-10,Karthala,14208,Eruption,2.0,-11.75,43.38,1
1974-10-16,Klyuchevskoy,19483,Eruption,2.0,56.056000000000004,160.642,3
1974-11-05,Chachadake [Tiatia],18743,Eruption,2.0,44.353,146.252,4
1974-11-08,Krafla,12951,Eruption,0.0,65.715,-16.727999999999998,4
1974-11-19,Raung,16166,Eruption,2.0,-8.119,114.056,3
1974-11-29,"Azul, Cerro",11720,Eruption,1.0,-0.92,-91.40799999999999,3
1975-01-10,Veniaminof,20178,Eruption,1.0,56.17,-159.38,3
1975-01-11,Fuego,10729,Eruption,1.0,14.472999999999999,-90.88,5
1975-01-14,Talang,15494,Eruption,1.0,-0.9790000000000001,100.681,3
1975-02-01,Poas,11191,Eruption,1.0,10.2,-84.23299999999999,3
1975-02-02,Miyakejima,18279,Eruption,1.0,34.094,139.526,3
1975-02-09,"Huila, Nevado del",11313,Eruption,2.0,2.93,-76.03,3
1975-02-22,Telica,10943,Eruption,1.0,12.606,-86.84,3
1975-02-23,Chaiten,12271,Eruption,4.0,-42.833,-72.646,3
1975-02-26,Epi,15095,Eruption,0.0,-16.68,168.37,4
1975-03-10,White Island,14482,Eruption,2.0,-37.52,177.18,6
1975-03-17,Asosan,17342,Eruption,1.0,32.884,131.10399999999998,4
1975-03-18,Miyakejima,18280,Eruption,1.0,34.094,139.526,3
1975-04-04,Masaya,11042,Eruption,1.0,11.985,-86.165,3
1975-04-28,San Cristobal,10895,Eruption,1.0,12.702,-87.00399999999999,3
1975-05-03,Soufriere St. Vincent,12455,Eruption,3.0,13.33,-61.18,4
1975-05-04,Soufriere Hills,12346,Eruption,3.0,16.72,-62.18,4
1975-05-26,Lopevi,15322,Eruption,2.0,-16.507,168.34599999999998,3
1975-06-06,"Huila, Nevado del",11312,Eruption,3.0,2.93,-76.03,3
1975-06-08,Soputan,16438,Eruption,3.0,1.112,124.73700000000001,3
1975-06-14,Akutan,20025,Eruption,2.0,54.13399999999999,-165.986,5
1975-06-15,Villarrica,12171,Eruption,1.0,-39.42,-71.93,4
1975-07-10,Northern EPR at 9.8°N,10345,Eruption,0.0,9.83,-104.3,4
1975-07-20,"Azul, Cerro",11960,Eruption,2.0,-35.653,-70.76100000000001,8
1975-07-21,Kuchinoerabujima,16974,Eruption,3.0,30.443,130.217,7
1975-07-22,Karangetang,16535,Eruption,2.0,2.781,125.40700000000001,4
1975-07-30,"Hudson, Cerro",12299,Eruption,5.0,-45.9,-72.97,4
1975-07-31,Mayon,16818,Eruption,1.0,13.257,123.685,3
1975-08-07,Kirishimayama,17163,Eruption,1.0,31.934,130.862,3
1975-08-23,Barren Island,15388,Eruption,2.0,12.277999999999999,93.85799999999999,3
1975-08-25,Kirishimayama,17165,Eruption,1.0,31.934,130.862,3
1975-08-25,Kirishimayama,17165,Eruption,1.0,31.934,130.862,1
1975-09-19,Ambrym,15289,Eruption,2.0,-16.25,168.12,4
1975-09-24,Guagua Pichincha,11493,Eruption,1.0,-0.171,-78.598,4
1975-09-30,Raung,16149,Eruption,2.0,-8.119,114.056,4
1975-10-06,"Hudson, Cerro",12298,Eruption,3.0,-45.9,-72.97,6
1975-10-10,"Hudson, Cerro",20770,Eruption,2.0,-45.9,-72.97,3
1975-10-30,Cleveland,20758,Eruption,2.0,52.825,-169.94400000000002,3
1975-11-04,Lokon-Empung,20793,Eruption,2.0,1.358,124.792,3
1975-11-04,Lokon-Empung,20793,Eruption,2.0,1.358,124.792,1
1975-11-10,Monowai,22197,Eruption,0.0,-25.886999999999997,-177.188,3
1975-11-19,Poas,11192,Eruption,1.0,10.2,-84.23299999999999,3
1975-11-29,Concepcion,11080,Eruption,1.0,11.538,-85.62200000000001,3
1975-11-29,Concepcion,11080,Eruption,1.0,11.538,-85.62200000000001,1
