Year,Month,Day,Volcano Name,ID,Type,VEI,Latitude,Longitude
1967,12,11,Kelut,15424,Eruptions,1.0,-7.93,112.30799999999999
1967,12,23,Ioto,18409,Eruptions,1.0,24.750999999999998,141.289
1967,7,16,Ambrym,15274,Eruptions,2.0,-16.25,168.12
1967,11,2,Kerinci,15517,Eruptions,2.0,-1.6969999999999998,101.264
1967,7,16,Tangkuban Parahu,15681,Eruptions,1.0,-6.77,107.6
1967,1,22,Ulawun,15050,Eruptions,2.0,-5.05,151.33
1967,7,2,Erta Ale,13935,Eruptions,0.0,13.6,40.67
1967,1,1,Poas,11169,Eruptions,1.0,10.2,-84.23299999999999
1967,1,5,San Miguel,10860,Eruptions,2.0,13.434000000000001,-88.26899999999999
1967,7,8,"Lengai, Ol Doinyo",14020,Eruptions,3.0,-2.764,35.914
1967,1,16,Ebeko,18871,Eruptions,1.0,50.68600000000001,156.014
1967,1,19,Langila,14993,Eruptions,2.0,-5.525,148.42
1967,1,27,Lopevi,15307,Eruptions,3.0,-16.507,168.34599999999998
1967,1,28,Shishaldin,20084,Eruptions,2.0,54.756,-163.97
1967,2,18,Kelut,15423,Eruptions,1.0,-7.93,112.30799999999999
1967,3,16,Tolbachik,19317,Eruptions,2.0,55.832,160.326
1967,1,12,Merapi,15914,Eruptions,2.0,-7.54,110.446
1967,4,16,Marapi,15464,Eruptions,1.0,-0.38,100.47399999999999
1967,3,27,Farallon de Pajaros,18494,Eruptions,0.0,20.546,144.893
1967,7,2,Tambora,16234,Eruptions,0.0,-8.25,118.0
1967,5,29,Macdonald,10314,Eruptions,0.0,-28.98,-140.25
1967,5,16,Izu-Oshima,18234,Eruptions,1.0,34.724000000000004,139.394
1967,7,2,Klyuchevskoy,19453,Eruptions,1.0,56.056000000000004,160.642
1967,5,7,Slamet,13402,Eruptions,2.0,-7.242000000000001,109.208
1967,4,23,Nyamuragira,14066,Eruptions,2.0,-1.4080000000000001,29.2
1967,4,22,Fuego,10724,Eruptions,2.0,14.472999999999999,-90.88
1967,5,16,Asosan,17334,Eruptions,1.0,32.884,131.10399999999998
1968,7,3,Klyuchevskoy,19454,Eruptions,3.0,56.056000000000004,160.642
1968,8,16,Bagana,15136,Eruptions,2.0,-6.1370000000000005,155.196
1968,7,16,Soputan,13597,Eruptions,1.0,1.112,124.73700000000001
1968,7,18,Io-Torishima,16920,Eruptions,1.0,27.881,128.22299999999998
